,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
0,"Antwerp, Flanders, Belgium",within an hour,100.0,96.0,f,host neighbourhood not available,4,"['email', 'phone']",t,neighbourhood not available,Room in boutique hotel,Hotel room,1.0,1,60,t,14,3,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,175.0,175.0,0.0,1.0,2.0,0.03,35,65,245,117.46575342465754,67.12328767123287,1 private bath,87.5,2.0,0.0,0.0
1,"Kapellen, Flanders, Belgium",within an hour,100.0,100.0,t,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,2,30,t,4,132,25,3,4.94,4.94,4.98,4.92,4.91,4.9,4.78,f,150.0,150.0,0.0,2.0,4.0,1.05,12,33,276,113.42465753424658,75.61643835616438,2.5 baths,37.5,2.0,0.0,0.0
2,"Antwerp, Vlaams Gewest, Belgium",within a few hours,100.0,81.0,t,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire condo,Entire home/apt,1.0,1,50,t,0,28,7,0,4.57,4.58,4.38,4.83,4.88,4.79,4.5,f,105.36712328767123,105.36712328767123,13.847164731359122,3.0,5.0,0.22,0,0,0,0.0,0.0,1 bath,21.073424657534247,1.6666666666666667,0.0,13.14182669062139
3,"Antwerp, Flanders, Belgium",within an hour,80.0,47.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Private room in home,Private room,1.0,14,365,t,0,3,0,0,4.0,4.5,2.0,4.5,3.5,4.5,4.5,f,15.0,15.0,0.0,1.0,2.0,0.02,20,27,292,12.0,80.0,2 shared baths,7.5,2.0,0.0,0.0
4,"Antwerp, Flanders, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,1,['phone'],t,"Antwerpen, Vlaams Gewest, Belgium",Entire rental unit,Entire home/apt,1.0,2,30,t,3,401,57,8,4.76,4.81,4.83,4.89,4.89,4.96,4.73,f,102.95068493150686,102.95068493150686,10.99564253462983,2.0,3.0,3.19,10,25,289,81.04657534246576,79.17808219178082,1 bath,34.31689497716895,1.5,0.0,10.6804947844157
5,"Lier, Vlaanderen, Belgium",within an hour,100.0,89.0,t,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,3,90,t,7,75,18,3,4.79,4.82,4.85,4.86,4.86,4.49,4.76,f,65.91780821917808,65.91780821917808,8.227789657947442,2.0,3.0,0.61,17,23,298,54.583561643835615,81.64383561643835,1 bath,21.972602739726028,1.5,0.0,12.481892041358337
6,"Antwerp, Vlaams Gewest, Belgium",within a few hours,83.0,56.0,f,host neighbourhood not available,1,"['email', 'phone']",f,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,6,365,t,9,25,4,0,4.83,4.96,4.92,5.0,5.0,4.64,4.84,f,67.0,67.0,0.0,1.0,2.0,0.21,19,26,301,55.25205479452055,82.46575342465754,1.5 baths,33.5,2.0,0.0,0.0
7,"Antwerpen, Flemish Region, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",f,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,1.0,2,21,t,30,2,0,0,0.0,4.72874421296297,4.6470081018518545,4.812164351851857,4.818535879629628,4.753692129629634,4.649218750000006,t,281.90410958904107,281.90410958904107,137.86043312541278,2.0,4.0,0.02,60,90,365,281.90410958904107,100.0,1 bath,70.47602739726027,2.0,0.0,48.90330734319031
8,"Edegem, Flanders, Belgium",within a few hours,100.0,96.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,2.0,2,365,t,8,98,16,0,4.46,4.65,4.47,4.81,4.78,4.26,4.35,f,122.68493150684931,122.68493150684931,6.827700352017824,3.0,5.0,0.82,32,62,337,113.0958904109589,92.32876712328768,1 bath,24.53698630136986,1.6666666666666667,0.0,5.565231416897065
9,"Antwerp, Flanders, Belgium",within a few hours,80.0,0.0,f,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Private room in townhouse,Private room,1.0,2,4,t,0,34,0,0,4.67,4.61,4.69,4.85,4.82,4.09,4.24,f,85.0,85.0,0.0,1.0,2.0,0.28,0,0,0,0.0,0.0,1.5 shared baths,42.5,2.0,0.0,0.0
