,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
0,"Asheville, NC",within an hour,90.0,58.0,f,host neighbourhood not available,3,"['email', 'phone']",t,"Asheville, North Carolina, United States",Entire rental unit,Entire home/apt,1.0,30,365,t,1,90,1,0,4.5,4.56,4.7,4.85,4.79,4.84,4.48,f,120.0,120.0,0.0,1.0,2.0,0.67,5,35,310,101.91780821917808,84.93150684931507,1 bath,60.0,2.0,0.0,0.0
1,"Asheville, NC",within an hour,100.0,98.0,f,host neighbourhood not available,11,"['email', 'phone']",t,"Asheville, North Carolina, United States",Entire guesthouse,Entire home/apt,1.0,1,365,t,18,369,35,1,4.58,4.7,4.41,4.83,4.74,4.93,4.54,t,114.93698630136986,114.93698630136986,9.909418137092908,1.0,2.0,2.72,37,64,84,23.36986301369863,23.013698630136986,1 bath,57.46849315068493,2.0,0.0,8.621609506194964
2,"Asheville, NC",within an hour,100.0,98.0,f,host neighbourhood not available,11,"['email', 'phone']",t,"Asheville, North Carolina, United States",Private room in home,Private room,1.0,1,365,t,0,67,0,0,4.52,4.73,4.43,4.76,4.61,4.84,4.46,t,66.42465753424658,66.42465753424658,2.2600071004166034,1.0,2.0,0.5,0,0,0,0.0,0.0,2.5 shared baths,33.21232876712329,2.0,0.0,3.402361689635225
3,"Asheville, NC",within an hour,100.0,98.0,f,host neighbourhood not available,11,"['email', 'phone']",t,neighbourhood not available,Shared room in hostel,Shared room,1.0,1,365,t,27,315,26,2,4.72,4.82,4.67,4.85,4.8,4.79,4.79,t,27.12876712328767,27.12876712328767,2.037389480050788,6.0,1.0,2.34,56,86,106,8.613698630136986,29.041095890410958,2.5 shared baths,27.12876712328767,0.16666666666666666,0.0,7.510070291037545
4,"Asheville, NC",within an hour,100.0,93.0,t,host neighbourhood not available,2,"['email', 'phone']",t,neighbourhood not available,Private room in home,Private room,1.0,2,4,t,10,60,22,2,4.97,4.98,5.0,4.95,4.92,4.82,4.98,f,51.391780821917806,51.391780821917806,7.109615710868243,1.0,2.0,0.49,40,70,70,10.013698630136986,19.17808219178082,1 private bath,25.695890410958903,2.0,0.0,13.834149346768893
5,"Asheville, NC",within a day,100.0,33.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Asheville, North Carolina, United States",Entire guest suite,Entire home/apt,1.0,30,360,t,0,59,2,1,4.87,4.84,4.84,5.0,4.98,4.93,4.77,f,134.0,134.0,0.0,2.0,4.0,0.44,13,43,318,116.74520547945205,87.12328767123287,1 bath,33.5,2.0,0.0,0.0
6,"Asheville, NC",within a day,100.0,83.0,t,Haw Creek,3,"['email', 'phone']",f,neighbourhood not available,Private room in cabin,Private room,1.0,7,365,t,0,57,0,0,4.66,4.57,4.57,4.88,4.65,4.67,4.59,f,67.84931506849315,67.84931506849315,4.5200142008332085,1.0,2.0,0.43,14,44,44,8.164383561643836,12.054794520547945,1 shared bath,33.92465753424658,2.0,0.0,6.661842048472122
7,"Asheville, NC",within an hour,100.0,100.0,t,host neighbourhood not available,2,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,1,30,t,0,713,113,12,4.94,4.96,4.9,4.98,4.99,4.92,4.96,t,79.72602739726027,79.72602739726027,6.788120428755755,1.0,2.0,5.43,4,14,129,27.534246575342465,35.342465753424655,1 bath,39.863013698630134,2.0,0.0,8.51430912885172
8,"Asheville, NC",response not available,99.02755326965466,33.0,f,host neighbourhood not available,2,"['email', 'phone']",f,"Asheville, North Carolina, United States",Entire guesthouse,Entire home/apt,2.0,30,365,t,13,24,0,0,4.9,4.89,5.0,5.0,5.0,5.0,4.89,f,289.0,289.0,0.0,2.0,4.0,0.19,43,73,348,275.53972602739725,95.34246575342465,1 bath,72.25,2.0,0.0,0.0
9,"Asheville, NC",within an hour,100.0,100.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Asheville, North Carolina, United States",Entire guest suite,Entire home/apt,1.0,2,30,t,6,520,17,1,4.85,4.9,4.94,4.95,4.95,4.9,4.84,t,101.94520547945206,101.94520547945206,12.688675416195041,3.0,4.0,4.72,27,57,147,39.66575342465753,40.273972602739725,1 bath,25.486301369863014,1.3333333333333333,0.0,12.446564167995673
