,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
0,Belize,within an hour,100.0,97.0,t,host neighbourhood not available,5,"['email', 'phone']",t,"Caye Caulker, Belize",Entire home,Entire home/apt,2.0,3,60,t,4,301,35,0,4.8,4.81,4.74,4.96,4.94,4.87,4.82,f,161.07945205479453,161.07945205479453,4.305215304698528,3.0,4.0,2.09,8,14,186,82.20821917808219,50.95890410958904,1 bath,40.26986301369863,1.3333333333333333,0.0,2.6727278059240107
1,Belize,within an hour,100.0,97.0,t,host neighbourhood not available,5,"['email', 'phone']",t,"Caye Caulker, Belize",Tiny home,Entire home/apt,1.7646198830409356,3,60,t,7,370,29,1,4.81,4.83,4.76,4.96,4.93,4.91,4.88,t,91.0,91.0,0.0,1.0,2.0,2.51,15,26,187,46.62191780821918,51.23287671232877,1 bath,45.5,2.0,0.0,0.0
2,"Liège, Belgium",within an hour,100.0,100.0,t,host neighbourhood not available,5,"['email', 'phone']",t,"Placencia, Stann Creek, Belize",Room in serviced apartment,Hotel room,1.7646198830409356,1,730,t,18,42,15,1,4.74,4.67,4.98,4.74,4.67,4.69,4.69,t,91.79452054794521,91.79452054794521,14.127324183101326,2.0,4.0,0.37,47,70,345,87.35616438356165,94.52054794520548,1 private bath,22.948630136986303,2.0,0.0,15.39016065313232
3,"Belize City, Belize",within an hour,100.0,99.0,t,host neighbourhood not available,34,"['email', 'phone']",t,neighbourhood not available,Entire condo,Entire home/apt,2.0,1,1125,t,22,41,9,1,4.85,4.9,4.8,4.9,4.88,5.0,4.75,t,472.1068493150685,472.1068493150685,51.120274920065306,2.0,6.0,0.62,35,47,251,319.2630136986301,68.76712328767123,2 baths,78.68447488584475,3.0,0.0,10.828115498478889
4,"Belize City, Belize",within an hour,100.0,99.0,t,host neighbourhood not available,34,"['email', 'phone']",t,neighbourhood not available,Entire home,Entire home/apt,1.0,2,14,t,23,57,8,0,4.5,4.75,4.41,4.88,4.93,4.54,4.52,t,138.413698630137,138.413698630137,8.146753466982048,1.0,2.0,0.71,40,70,265,99.48493150684932,72.6027397260274,1 bath,69.2068493150685,2.0,0.0,5.8857999949495206
5,"Placencia, Belize",within an hour,100.0,100.0,t,host neighbourhood not available,10,"['email', 'phone']",t,"Placencia, Stann Creek, Belize",Entire serviced apartment,Entire home/apt,1.0,7,365,t,12,68,3,0,4.87,4.88,4.97,4.91,4.96,4.79,4.88,t,207.56438356164384,207.56438356164384,47.917332000084514,1.0,2.0,0.52,24,54,178,119.46575342465754,48.76712328767123,1 bath,103.78219178082192,2.0,0.0,23.085527091816168
6,"Belmopan, Belize",a few days or more,0.0,0.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Belmopan, Cayo, Belize",Private room in home,Private room,1.0,1,730,t,30,11,0,0,4.55,4.91,4.82,4.55,4.73,4.64,4.82,f,53.0,53.0,0.0,1.0,1.0,0.14,60,90,365,53.0,100.0,1 private bath,53.0,1.0,0.0,0.0
7,"San Ignacio, Belize",within an hour,100.0,100.0,f,host neighbourhood not available,13,"['email', 'phone']",t,"San Ignacio, Cayo, Belize",Private room,Private room,1.0,1,730,t,29,42,2,0,4.44,4.41,4.6,4.57,4.55,4.5,4.55,t,287.0,287.0,0.0,1.0,2.0,0.4,58,88,328,257.9068493150685,89.86301369863014,1 shared bath,143.5,2.0,0.0,0.0
8,"San Ignacio, Belize",within an hour,100.0,100.0,f,host neighbourhood not available,13,"['email', 'phone']",t,"San Ignacio, Cayo, Belize",Hut,Entire home/apt,1.0,1,730,t,24,99,10,0,4.57,4.48,4.6,4.79,4.72,4.79,4.65,t,188.5205479452055,188.5205479452055,11.924798232496103,2.0,4.0,0.95,42,61,165,86.71232876712328,45.20547945205479,1 bath,47.13013698630137,2.0,0.0,6.325463384480566
9,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,365,t,12,111,1,0,4.95,4.95,4.95,4.98,4.97,4.88,4.9,f,233.76438356164383,233.76438356164383,7.071793721955039,2.0,3.0,0.83,26,36,196,125.72054794520548,53.6986301369863,1 private bath,77.9214611872146,1.5,0.0,3.0251801468679265
10,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,365,t,23,147,3,0,4.91,4.91,4.94,4.97,4.99,4.91,4.93,f,233.62739726027397,233.62739726027397,7.426068951690868,2.0,3.0,1.12,36,56,272,173.7972602739726,74.52054794520548,1 bath,77.875799086758,1.5,0.0,3.178595078649022
11,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,365,t,17,135,5,0,4.96,4.95,4.92,5.0,4.98,4.88,4.92,f,233.76438356164383,233.76438356164383,7.071793721955039,2.0,3.0,1.05,17,17,188,119.87397260273973,51.50684931506849,1 bath,77.9214611872146,1.5,0.0,3.0251801468679265
12,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,365,t,19,47,0,0,4.87,4.9,4.95,4.9,4.98,4.83,4.74,t,233.76438356164383,233.76438356164383,7.071793721955039,2.0,3.0,0.35,35,57,276,176.72876712328767,75.61643835616438,1 private bath,77.9214611872146,1.5,0.0,3.0251801468679265
13,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,365,t,17,9,2,0,4.67,5.0,5.0,5.0,5.0,4.89,4.78,f,506.92602739726027,506.92602739726027,17.53512979015243,2.0,4.0,0.07,33,38,193,267.7041095890411,52.87671232876713,1 private bath,126.73150684931507,2.0,0.0,3.459110174355036
14,"Cincinnati, OH",response not available,93.70717131474103,100.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Entire home,Entire home/apt,3.0,2,90,t,0,14,6,0,4.92,4.77,4.92,4.77,4.92,4.46,4.85,t,402.0,402.0,0.0,7.0,8.0,0.11,0,0,85,93.61643835616438,23.28767123287671,2 baths,50.25,1.1428571428571428,0.0,0.0
15,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,365,t,17,10,2,0,5.0,5.0,5.0,5.0,5.0,5.0,4.89,f,507.15342465753423,507.15342465753423,16.6062519852536,2.0,4.0,0.09,34,48,235,326.1890410958904,64.38356164383562,1 private bath,126.78835616438356,2.0,0.0,3.2744039925328936
16,Belize,within an hour,100.0,100.0,t,host neighbourhood not available,16,"['email', 'phone', 'work_email']",t,"Caye Caulker, Belize",Room in hotel,Private room,1.0,1,365,t,23,17,2,0,4.94,4.94,5.0,5.0,5.0,5.0,4.94,f,452.7945205479452,452.7945205479452,18.24283609514214,2.0,4.0,0.13,39,63,239,296.2054794520548,65.47945205479452,1 private bath,113.1986301369863,2.0,0.0,4.028943652645297
