,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
0,"Aurora, Colorado, United States",within an hour,100.0,94.0,f,Delmar Parkway,0,"['email', 'phone']",f,"Aurora, Colorado, United States",Entire home,Entire home/apt,2.0,1,28,t,20,9,9,7,5.0,5.0,5.0,5.0,5.0,4.78,5.0,t,135.2082191780822,135.2082191780822,28.357227470998264,3.0,4.0,7.3,50,78,353,129.72328767123287,96.7123287671233,1 bath,33.80205479452055,1.3333333333333333,0.0,20.973005667391472
1,US,within an hour,100.0,100.0,f,North Aurora Division,0,['phone'],t,"Aurora, Colorado, United States",Entire guest suite,Entire home/apt,1.0,1,365,t,1,2,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,85.0,85.0,0.0,1.0,2.0,2.0,1,1,67,15.602739726027398,18.356164383561644,1 bath,42.5,2.0,0.0,0.0
2,"Aurora, Colorado, United States",within an hour,100.0,99.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Aurora, Colorado, United States",Entire home,Entire home/apt,2.0,2,1125,t,5,77,40,4,4.62,4.81,4.78,4.91,4.86,4.43,4.64,f,119.17808219178082,119.17808219178082,17.298242356366725,2.0,4.0,1.74,29,55,145,50.62191780821918,39.726027397260275,1.5 baths,29.794520547945204,2.0,0.0,14.514617149595068
3,US,within a few hours,90.0,77.0,f,North Aurora Division,37,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,31,365,t,0,1,1,1,5.0,3.0,4.0,5.0,5.0,4.0,5.0,f,64.0,64.0,0.0,1.0,3.0,1.0,13,43,318,55.75890410958904,87.12328767123287,1 bath,21.333333333333332,3.0,0.0,0.0
4,"Denver, Colorado, United States",within a day,100.0,92.34353541298803,f,host neighbourhood not available,0,"['email', 'phone']",t,neighbourhood not available,Entire home,Entire home/apt,3.0,60,100,t,0,0,0,0,4.82958813108942,4.860128574595401,4.838468188871613,4.912287741077343,4.896218133451525,4.8487652405231305,4.774125471070683,t,149.0,149.0,0.0,3.0,4.0,2.2942404782993826,0,0,238,97.15616438356165,65.20547945205479,1 bath,37.25,1.3333333333333333,0.0,0.0
5,"Montezuma, Colorado, United States",within an hour,100.0,97.0,f,host neighbourhood not available,2,['phone'],f,"Denver, Colorado, United States",Entire townhouse,Entire home/apt,2.0,1,1125,t,7,121,41,3,4.66,4.79,4.72,4.88,4.76,4.8,4.67,f,133.5205479452055,133.5205479452055,23.882559265320968,2.0,6.0,3.98,21,37,303,114.72876712328767,83.01369863013699,1 bath,22.25342465753425,3.0,0.0,17.88680441539377
6,"Denver, Colorado, United States",within an hour,100.0,100.0,t,host neighbourhood not available,2,"['email', 'phone']",f,"Denver, Colorado, United States",Entire guesthouse,Entire home/apt,1.8235521983343017,1,400,t,11,113,29,7,4.84,4.96,4.88,4.97,4.94,4.84,4.78,f,95.35342465753425,95.35342465753425,25.368894177928397,1.0,2.0,1.6,11,11,280,68.12054794520547,76.71232876712328,1 bath,47.676712328767124,2.0,0.0,26.60512117843887
7,"Denver, Colorado, United States",within an hour,100.0,88.0,t,Highland,3,"['email', 'phone']",t,"Denver, Colorado, United States",Entire guesthouse,Entire home/apt,2.0,29,35,t,0,170,19,0,4.99,4.99,4.96,5.0,5.0,5.0,4.91,f,133.0,133.0,0.0,2.0,3.0,3.6,0,5,5,1.821917808219178,1.36986301369863,1 bath,44.333333333333336,1.5,0.0,0.0
8,"Denver, Colorado, United States",response not available,97.30020366598778,92.34353541298803,f,Five Points,1,"['email', 'phone']",t,"Denver, Colorado, United States",Entire loft,Entire home/apt,1.0,185,365,t,23,87,0,0,4.85,4.78,4.81,4.95,4.96,4.65,4.71,f,179.0,179.0,0.0,1.0,3.0,0.54,53,83,358,175.56712328767122,98.08219178082192,1.5 baths,59.666666666666664,3.0,0.0,0.0
9,"Denver, Colorado, United States",within an hour,100.0,95.0,t,North Park Hill,2,"['email', 'phone']",t,"Denver, Colorado, United States",Private room in home,Private room,1.0,1,300,t,0,655,38,6,4.84,4.77,4.57,4.92,4.95,4.74,4.85,f,67.40821917808219,67.40821917808219,14.094868458942983,1.0,3.0,4.06,6,19,194,34.846575342465755,53.15068493150685,1 shared bath,22.469406392694065,3.0,0.0,20.90971788129649
10,"Denver, Colorado, United States",within an hour,100.0,95.0,t,North Park Hill,2,"['email', 'phone']",t,neighbourhood not available,Private room in home,Private room,1.0,2,365,t,0,167,11,0,4.86,4.76,4.55,4.94,4.94,4.8,4.86,f,54.0,54.0,0.0,1.0,2.0,1.03,0,0,0,0.0,0.0,1 shared bath,27.0,2.0,0.0,0.0
11,"Denver, Colorado, United States",within a few hours,100.0,0.0,f,North Capitol Hill,1,"['email', 'phone']",t,"Denver, Colorado, United States",Private room in home,Private room,1.0,30,180,t,0,256,1,0,4.76,4.75,4.8,4.86,4.91,4.87,4.81,f,33.0,33.0,0.0,2.0,2.0,1.52,1,25,300,27.123287671232877,82.1917808219178,1 private bath,16.5,1.0,0.0,0.0
12,"Denver, Colorado, United States",within an hour,100.0,100.0,t,Baker,3,"['email', 'phone', 'work_email']",t,"Denver, Colorado, United States",Entire guesthouse,Entire home/apt,1.8235521983343017,1,1125,t,3,96,36,1,4.94,4.94,4.96,4.98,4.97,4.91,4.88,f,131.1150684931507,131.1150684931507,16.59133620754787,1.0,2.0,1.45,8,33,122,44.11780821917808,33.42465753424658,1 bath,65.55753424657534,2.0,0.0,12.654027030016449
13,"Denver, Colorado, United States",within an hour,100.0,100.0,t,West Highland,1,"['email', 'phone']",t,neighbourhood not available,Entire guest suite,Entire home/apt,1.0,4,730,t,4,122,32,2,4.9,4.91,5.0,4.94,4.99,4.88,4.89,t,92.86849315068493,92.86849315068493,10.53013567522052,1.0,2.0,0.85,10,20,273,68.58356164383562,74.79452054794521,1 bath,46.43424657534246,2.0,0.0,11.338760130558722
14,"Denver, Colorado, United States",within an hour,100.0,88.0,t,Highland,3,"['email', 'phone']",t,"Denver, Colorado, United States",Entire cottage,Entire home/apt,1.0,29,31,t,0,631,7,1,4.91,4.88,4.94,4.98,4.97,4.84,4.85,f,110.0,110.0,0.0,1.0,1.0,4.36,0,0,0,0.0,0.0,1 bath,110.0,1.0,0.0,0.0
15,"Denver, Colorado, United States",within a few hours,100.0,72.0,f,Capitol Hill,0,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,5,1124,t,5,124,8,2,4.73,4.8,4.31,4.9,4.98,4.86,4.71,f,150.32876712328766,150.32876712328766,3.616410986170435,2.0,3.0,0.93,26,56,244,100.27397260273973,66.84931506849315,1 bath,50.10958904109589,1.5,0.0,2.4056679605471274
16,"Denver, Colorado, United States",within an hour,100.0,100.0,t,North Park Hill,4,"['email', 'phone']",t,"Denver, Colorado, United States",Private room in home,Private room,1.0,1,1125,t,0,247,42,4,4.91,4.89,4.94,4.97,4.96,4.92,4.92,f,90.0,90.0,0.0,1.0,2.0,1.94,19,30,30,7.397260273972603,8.21917808219178,1 private bath,45.0,2.0,0.0,0.0
17,"Denver, Colorado, United States",within a few hours,100.0,43.0,f,Ballpark,8,"['email', 'phone', 'work_email']",t,neighbourhood not available,Entire condo,Entire home/apt,1.0,30,1125,t,0,11,0,0,4.7,4.4,4.7,4.7,4.9,4.9,4.6,f,80.0,80.0,0.0,1.0,2.0,0.08,19,49,324,71.01369863013699,88.76712328767124,1 bath,40.0,2.0,0.0,0.0
