,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
0,Singapore,a few days or more,0.0,72.99303621169916,f,Bukit Timah,4,"['email', 'phone', 'work_email']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,92,730,t,30,18,0,0,4.56,4.72,4.78,4.78,4.94,4.72,4.5,f,80.0,80.0,0.0,1.0,2.0,0.18,60,90,365,80.0,100.0,1 bath,40.0,2.0,0.0,0.0
1,Singapore,within an hour,100.0,100.0,f,Tampines,15,"['email', 'phone']",t,neighbourhood not available,Private room in villa,Private room,2.0,92,1125,t,5,20,0,0,4.44,4.37,4.0,4.63,4.78,4.26,4.32,f,145.1972602739726,145.1972602739726,51.076160469415235,3.0,6.0,0.15,35,65,340,134.9808219178082,93.15068493150685,1 private bath,24.199543378995433,2.0,0.0,35.17708279966142
2,Singapore,within an hour,100.0,100.0,f,Tampines,15,"['email', 'phone']",t,neighbourhood not available,Private room in home,Private room,1.0,92,1125,t,0,24,0,0,4.16,4.22,4.09,4.43,4.43,4.17,4.04,t,85.45205479452055,85.45205479452055,2.186629549831909,1.0,1.0,0.18,1,1,265,62.16438356164384,72.6027397260274,Shared half-bath,85.45205479452055,1.0,0.0,2.558896395282612
3,Singapore,within an hour,100.0,100.0,f,Tampines,15,"['email', 'phone']",t,"Singapore, Singapore",Private room in home,Private room,1.0,92,1125,t,30,47,0,0,4.41,4.39,4.52,4.63,4.64,4.5,4.36,f,85.0,85.0,0.0,2.0,2.0,0.34,60,90,365,85.0,100.0,Shared half-bath,42.5,1.0,0.0,0.0
4,Singapore,within an hour,99.0,82.0,f,Bukit Merah,57,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,60,999,t,0,14,1,0,4.5,4.69,4.23,4.62,4.54,4.62,4.46,f,49.0,49.0,0.0,1.0,1.0,0.11,0,21,296,39.73698630136986,81.0958904109589,Shared half-bath,49.0,1.0,0.0,0.0
5,Singapore,within an hour,100.0,100.0,f,Tampines,15,"['email', 'phone']",t,"Singapore, Singapore",Private room in home,Private room,3.0,92,365,t,0,12,0,0,4.83,4.67,4.75,4.58,4.67,4.33,4.45,t,184.0,184.0,0.0,5.0,4.0,0.1,0,10,285,143.67123287671234,78.08219178082192,3 baths,46.0,0.8,0.0,0.0
6,Singapore,within a day,80.0,21.0,f,Central Area,8,"['email', 'phone']",t,neighbourhood not available,Private room in rental unit,Private room,1.0,92,1125,t,30,133,0,0,4.43,4.33,4.16,4.5,4.66,4.52,4.39,f,79.0,79.0,0.0,1.0,2.0,1.03,60,90,365,79.0,100.0,1 shared bath,39.5,2.0,0.0,0.0
7,Singapore,within an hour,99.0,82.0,f,Bukit Merah,57,"['email', 'phone']",t,neighbourhood not available,Private room in rental unit,Private room,1.0,60,999,t,5,17,3,0,3.62,3.63,4.0,4.5,4.06,4.0,3.88,f,49.28493150684932,49.28493150684932,0.45200142008332067,1.0,1.0,0.14,5,5,181,24.438356164383563,49.589041095890416,0 baths,49.28493150684932,1.0,0.0,0.9171188967169495
8,Singapore,within an hour,99.0,82.0,f,Bukit Merah,57,"['email', 'phone']",t,neighbourhood not available,Private room in rental unit,Private room,1.461006121905776,60,999,t,29,12,2,0,4.73,4.55,4.55,4.91,4.82,4.45,4.45,f,54.6986301369863,54.6986301369863,9.040028401666412,1.0,1.0,0.11,33,57,332,49.66575342465753,90.95890410958904,2 shared baths,54.6986301369863,1.0,0.0,16.526974037607012
9,Singapore,within an hour,99.0,82.0,f,Bukit Merah,57,"['email', 'phone']",t,"Singapore, Singapore",Private room in rental unit,Private room,1.0,60,999,t,29,3,0,0,5.0,5.0,4.5,5.0,5.0,4.5,5.0,f,54.6986301369863,54.6986301369863,9.040028401666412,1.0,1.0,0.03,59,89,364,54.50958904109589,99.72602739726028,4 shared baths,54.6986301369863,1.0,0.0,16.526974037607012
